Statement,,,,Result
A photo shows a large crowd in Berlin protesting the “covid hoax.”,,,,FALSE
“You know what’s in this bill? No medical malpractice suits until 2024^ even if they’re not COVID related.”,,,,barely-true
Says Haley Stevens’ plan for “socialized medicine” would “eliminate 100^000 doctors and nurses.”,,,,barely-true
“$258^000/month: Amount Blake Griffin will pay in child support to ex Brynn Cameron.”,,,,FALSE
The White House doctored a photo of a Donald Trump event “to make the crowd look bigger.”,,,,FALSE
Under an executive order^ “expensive insulin went from big dollars to virtual pennies … especially (for) our seniors.”,,,,barely-true
“CNN is at it again. Putting a black guy’s head on a lily white dude to push an agenda.”,,,,FALSE
Says Target ended its “Heroes & Helpers” program that pairs children with police officers for holiday shopping trips.,,,,FALSE
Says Milwaukee police were protecting a sex offender's house and snuck children out of it after a mother tracked her missing daughter to that address.,,,,FALSE
A study from the CDC and the WHO “proves face masks do not prevent the spread of a virus.”,,,,FALSE
Absentee voting is different from mail-in voting and has more protections against fraud.,,,,FALSE
Says Herman Cain died of cancer^ not COVID-19.,,,,FALSE
Says George Floyd appeared on Judge Judy.,,,,FALSE
“The first Statue of Liberty given to the U.S. by France was a Black woman which the U.S. rejected.”,,,,FALSE
“Mississippi got 10^145 warrants for unemployment fraud!!”,,,,barely-true
“Florida is doing over five times better” than New Jersey and New York in COVID-19 deaths per million people.,,,,barely-true
“Right now^ we are about 4% behind the (census) response rate where we were in 2010. But for Black and Latino and Native American communities^ they’re behind by 10%.”,,,,half-true
Says Donald Trump was caught on a hot mic insulting his supporters.,,,,pants-fire
Says actor Kurt Russell said this about the police.,,,,FALSE
A common cold can cause a positive COVID-19 test.,,,,FALSE
Says Tom Hanks’ name is on Jeffrey Epstein’s flight logs.,,,,pants-fire
“America was the ONLY country that ended” slavery,,,,FALSE
"Say Wisconsin Republican lawmakers have done nothing ""while neighboring states like Minnesota^ Illinois and Michigan have already implemented safety precautions like requiring individuals to wear masks.""",,,,mostly-true
Says he opposes statewide mask order because it would require him to “wear a mask in my house^ or walking my dog.”,,,,FALSE
A patch on law enforcement officers in Portland is for “ZTI solutions^ a PRIVATE contractor.”,,,,FALSE
Photos show Portland^ Ore.^ after protests.,,,,pants-fire
“The NFL agreed to give the domestic terror group^ BLM^ 250 million dollars.”,,,,FALSE
Black Lives Matter is a terrorist organization.,,,,FALSE
The longest filibuster in U.S. history was 75 days and “took place in 1964^ when Democrats tried to block the Civil Rights Act.”,,,,barely-true
A photo shows Portland protesters pointing lasers at federal officers.,,,,FALSE
Says wearing masks has been “proven ineffective.”,,,,FALSE
“If you have worked during the COVID-19 pandemic^ the Department of Labor has finally authorized up to $4^800 in hazard pay for qualified essential workers.”,,,,pants-fire
“SpongeBob’s license address is Jeffrey Epstein’s private island!”,,,,FALSE
“Joe Biden takes a knee after spotting an American flag near his childhood home in Pennsylvania.”,,,,FALSE
“American coronavirus vaccine killed five Ukrainians.”,,,,FALSE
Says 1 in 5 Texans did not have health insurance coverage before the pandemic^ and now “nearly 1 in 3 Texans under the age of 65 don’t have access to health care insurance.”,,,,TRUE
“Hurricane ‘Hanna’ hitting Texas has blown over part of a border wall.”,,,,FALSE
“Local governments are making these (COVID-19) decisions on inaccurate data because the negatives are not being entered … across the state of Wisconsin.”,,,,half-true
Florida state Senate candidate Ray Rodrigues “is promoting illegal immigration.”,,,,FALSE
“Portland goon squads were Blackwater contractors not federal officers.”,,,,FALSE
West Virginia is the state with the oldest population.,,,,half-true
